round of level0,round of level1,round of level2,round of level3,butterknife cycles,eden cycles
3,1,1,5,6367.118170,4308.772660
3,1,1,6,6258.175340,4956.752610
3,1,1,7,6277.858530,5622.904230
3,1,1,8,6265.898470,6257.943210
3,1,2,5,6309.954790,4682.159260
3,1,2,6,6348.004690,5291.440120
3,1,2,7,6294.049480,5928.088970
3,1,2,8,6282.160080,6578.413680
3,1,3,5,6340.639180,5027.627490
3,1,3,6,6344.665500,5608.881400
3,1,3,7,6301.825360,6320.232060
3,1,3,8,6275.558740,6867.062430
3,1,4,5,6256.338640,5359.037280
3,1,4,6,6271.135420,5999.323520
3,1,4,7,6283.268000,6640.633880
3,1,4,8,6258.190610,7312.484820
3,2,1,5,6251.342250,4549.960860
3,2,1,6,6274.732090,5165.574500
3,2,1,7,6323.770100,5775.926610
3,2,1,8,6263.327640,6413.090930
3,2,2,5,6320.500370,4853.909920
3,2,2,6,6368.526700,5566.440050
3,2,2,7,6293.418580,6226.859260
3,2,2,8,6284.549160,6808.789240
3,2,3,5,6242.014490,5246.211020
3,2,3,6,6327.821930,5879.992240
3,2,3,7,6261.062140,6448.659800
3,2,3,8,6255.680420,7107.564250
3,2,4,5,6313.333070,5546.642610
3,2,4,6,6262.082970,6252.436570
3,2,4,7,6255.301560,6824.411300
3,2,4,8,6227.269400,7463.036310
3,3,1,5,6259.938930,4729.750830
3,3,1,6,6276.890700,5356.492470
3,3,1,7,6239.271020,5999.865060
3,3,1,8,6316.106380,6587.533890
3,3,2,5,6236.723060,5085.400740
3,3,2,6,6246.821920,5711.455180
3,3,2,7,6229.855330,6319.312160
3,3,2,8,6277.416630,6972.980310
3,3,3,5,6291.924460,8411.327400
3,3,3,6,7361.377260,7020.065850
3,3,3,7,7230.969800,8061.769460
3,3,3,8,7457.113300,7375.239280
3,3,4,5,6292.059040,5785.810520
3,3,4,6,6295.825940,6367.941540
3,3,4,7,6308.488290,7030.532370
3,3,4,8,6274.735690,7706.476960
3,4,1,5,6240.439410,5045.404460
3,4,1,6,6298.921360,5570.055480
3,4,1,7,6347.926640,6224.428890
3,4,1,8,6304.599290,6794.212240
3,4,2,5,6263.734270,5265.869230
3,4,2,6,6280.107560,5933.145580
3,4,2,7,6260.499300,6600.458940
3,4,2,8,6293.814260,7115.945660
3,4,3,5,6246.171740,5621.411380
3,4,3,6,6330.485620,6263.702550
3,4,3,7,6259.582480,6884.302860
3,4,3,8,6297.961410,8567.596670
3,4,4,5,7287.941450,6916.227750
3,4,4,6,6735.713980,6770.480160
3,4,4,7,7507.356410,8430.136420
3,4,4,8,7034.301200,8868.535000
4,1,1,5,7441.282160,5129.395720
4,1,1,6,7237.985410,5090.125580
4,1,1,7,6370.772290,6102.160100
4,1,1,8,6334.219510,6314.672000
4,1,2,5,6272.778640,4806.769620
4,1,2,6,6292.246350,5460.357870
4,1,2,7,6274.783960,6033.537200
4,1,2,8,6297.285770,6751.651190
4,1,3,5,6301.067110,5109.786700
4,1,3,6,6262.247980,5787.170300
4,1,3,7,6231.285280,6398.833390
4,1,3,8,6317.859200,7073.272990
4,1,4,5,6295.355740,5469.866400
4,1,4,6,6295.252560,6102.459490
4,1,4,7,6252.601800,6851.772600
4,1,4,8,6283.901540,7423.031370
4,2,1,5,6280.447570,4662.512330
4,2,1,6,6256.821890,5297.547300
4,2,1,7,6317.397950,5940.932380
4,2,1,8,6271.736810,6551.582010
4,2,2,5,6328.691630,4993.016780
4,2,2,6,6316.955320,5642.514020
4,2,2,7,6246.613880,6270.531320
4,2,2,8,6263.009370,6965.291210
4,2,3,5,6261.289090,5356.472080
4,2,3,6,6300.619310,5964.059650
4,2,3,7,6284.370150,6640.422260
4,2,3,8,6237.319760,7301.926940
4,2,4,5,6223.678300,5703.721230
4,2,4,6,6241.561370,6399.251030
4,2,4,7,6297.558860,7014.913150
4,2,4,8,6230.261180,7588.623540
4,3,1,5,6305.102940,4859.414930
4,3,1,6,6191.518630,5440.668400
4,3,1,7,6542.033170,6185.547430
4,3,1,8,6250.630310,6740.603980
4,3,2,5,6206.766880,5236.173710
4,3,2,6,6218.834230,5824.180680
4,3,2,7,6266.322420,6515.226150
4,3,2,8,6283.169290,7136.538800
4,3,3,5,6287.938580,5571.588780
4,3,3,6,6263.721160,6146.919000
4,3,3,7,6277.810790,6837.832450
4,3,3,8,6290.273630,7470.680720
4,3,4,5,6295.094720,5877.221220
4,3,4,6,6309.041770,6523.195310
4,3,4,7,6259.715550,7212.186860
4,3,4,8,6284.890290,7802.811330
4,4,1,5,6349.282760,5062.278580
4,4,1,6,6265.466630,5712.442450
4,4,1,7,6303.495820,6385.815020
4,4,1,8,6272.995660,6996.030810
4,4,2,5,6317.996380,5418.577020
4,4,2,6,6257.664190,6113.449150
4,4,2,7,6306.108220,6656.252970
4,4,2,8,6309.750050,7237.323060
4,4,3,5,6242.266380,5766.411590
4,4,3,6,6329.252420,6352.726770
4,4,3,7,6399.620070,7097.596290
4,4,3,8,6209.217580,7561.968360
4,4,4,5,6187.667910,6042.859890
4,4,4,6,6305.101320,6613.441610
4,4,4,7,6184.345930,7291.562920
4,4,4,8,6215.863800,7933.218460
5,1,1,5,6192.115700,4531.121900
5,1,1,6,6210.480770,5162.938210
5,1,1,7,6188.549140,5812.977230
5,1,1,8,6195.750650,6409.129060
5,1,2,5,6213.452320,4869.593810
5,1,2,6,6179.561290,5484.068030
5,1,2,7,6264.760910,6113.226380
5,1,2,8,6162.561780,6709.466900
5,1,3,5,6190.467120,5197.897400
5,1,3,6,6245.269920,5876.637780
5,1,3,7,6185.605020,6442.264080
5,1,3,8,6256.351610,7071.138830
5,1,4,5,6298.142890,5957.160500
5,1,4,6,6488.442020,6185.716260
5,1,4,7,6231.350680,6809.669220
5,1,4,8,6183.685350,7466.002680
5,2,1,5,6273.505300,5022.298260
5,2,1,6,6334.491740,5392.965270
5,2,1,7,6438.624560,6002.088150
5,2,1,8,6235.911170,6791.797270
5,2,2,5,6538.116640,5396.834400
5,2,2,6,6224.000270,5789.779470
5,2,2,7,6541.851830,6735.425850
5,2,2,8,6570.817310,6893.875940
5,2,3,5,6187.403360,5406.715410
5,2,3,6,6179.942160,6021.415190
5,2,3,7,6166.286620,6639.448200
5,2,3,8,6174.076940,7261.264790
5,2,4,5,6191.067790,5748.638840
5,2,4,6,6182.448390,6369.925100
5,2,4,7,6209.403530,7028.854190
5,2,4,8,6180.117350,7603.263800
5,3,1,5,6158.929910,4923.017670
5,3,1,6,6178.695130,5534.349260
5,3,1,7,6180.736570,6168.348710
5,3,1,8,6191.204300,6768.079560
5,3,2,5,6184.162760,5256.642430
5,3,2,6,6215.853660,5858.560790
5,3,2,7,6202.743500,6481.346250
5,3,2,8,6205.363640,7141.090030
5,3,3,5,6210.117560,5611.201360
5,3,3,6,6193.926270,6212.830580
5,3,3,7,6139.640720,6843.035140
5,3,3,8,6180.380090,7444.606370
5,3,4,5,6188.128870,5913.323560
5,3,4,6,6181.418120,6556.902690
5,3,4,7,6205.864330,7197.383420
5,3,4,8,6185.987890,7814.272060
5,4,1,5,6208.173070,5125.192640
5,4,1,6,6204.181860,5713.616470
5,4,1,7,6178.192150,6353.965460
5,4,1,8,6203.796940,6973.639270
5,4,2,5,6195.802160,5436.787850
5,4,2,6,6213.462320,6075.109340
5,4,2,7,6190.438610,6705.014130
5,4,2,8,6201.019180,7301.999840
5,4,3,5,6181.762240,5784.772910
5,4,3,6,6206.082330,6425.722360
5,4,3,7,6201.666490,7008.920690
5,4,3,8,6208.457770,7645.000400
5,4,4,5,6203.438840,6118.696810
5,4,4,6,6197.670500,6752.034830
5,4,4,7,6199.331770,7364.976160
5,4,4,8,6192.144840,7973.968700
6,1,1,5,6174.698020,4904.346870
6,1,1,6,7436.446780,6323.009050
6,1,1,7,7469.899050,7059.091340
6,1,1,8,7341.742790,7819.337810
6,1,2,5,7431.972850,4986.300460
6,1,2,6,6215.936240,5569.988080
6,1,2,7,6206.934180,6249.276530
6,1,2,8,6171.517920,6838.453510
6,1,3,5,6186.359030,5329.937350
6,1,3,6,6231.721160,5956.173950
6,1,3,7,6213.255750,6549.862610
6,1,3,8,6194.285240,7146.698730
6,1,4,5,6203.859990,5656.556770
6,1,4,6,6170.717440,6303.584030
6,1,4,7,6220.633460,6892.205690
6,1,4,8,6206.750900,7545.213130
6,2,1,5,6182.067460,4841.297450
6,2,1,6,6194.702810,5493.316340
6,2,1,7,6185.926200,6123.602480
6,2,1,8,6207.691970,6705.832450
6,2,2,5,6196.627560,5185.964770
6,2,2,6,6194.514630,5779.294850
6,2,2,7,6194.360050,6415.482590
6,2,2,8,6186.693900,7056.418210
6,2,3,5,6197.598790,5555.054600
6,2,3,6,6203.558160,6145.827440
6,2,3,7,6188.500650,6782.000450
6,2,3,8,6200.797900,7399.281860
6,2,4,5,6216.475740,5869.501810
6,2,4,6,6185.102300,6505.885910
6,2,4,7,6198.546780,7098.048670
6,2,4,8,6216.203370,7697.245140
6,3,1,5,6188.476850,5051.550050
6,3,1,6,6188.176790,5630.484520
6,3,1,7,6160.475920,6284.308450
6,3,1,8,6202.023700,6922.283910
6,3,2,5,6200.393930,5396.788040
6,3,2,6,6182.885210,6018.652510
6,3,2,7,6184.672630,6612.484410
6,3,2,8,6195.470380,7220.375930
6,3,3,5,6203.171120,5715.989160
6,3,3,6,6229.852020,6309.975050
6,3,3,7,6213.806900,6970.539880
6,3,3,8,6166.062690,7575.317650
6,3,4,5,6195.628470,6049.211010
6,3,4,6,6196.606680,6670.741740
6,3,4,7,6222.669680,7295.851440
6,3,4,8,6202.151290,7903.977270
6,4,1,5,6197.968040,5231.384730
6,4,1,6,6186.903280,5873.972890
6,4,1,7,6196.834240,6459.905330
6,4,1,8,6253.404990,7100.609470
6,4,2,5,6188.025290,5597.342200
6,4,2,6,6177.696760,6191.153380
6,4,2,7,6212.066410,6828.150520
6,4,2,8,6198.794990,7441.317020
6,4,3,5,6185.867860,5908.875600
6,4,3,6,6179.882200,6528.241730
6,4,3,7,6208.845730,7141.148240
6,4,3,8,6194.599800,7775.114400
6,4,4,5,6179.794640,6217.371290
6,4,4,6,6175.451800,6908.916380
6,4,4,7,7541.154210,8977.449690
6,4,4,8,7421.639780,9767.659210
7,1,1,5,7480.534040,5742.561740
7,1,1,6,7400.524950,6489.046320
7,1,1,7,7389.448860,7183.630630
7,1,1,8,7440.931200,6793.388270
7,1,2,5,6216.714230,5110.416530
7,1,2,6,6177.964220,5734.681560
7,1,2,7,6181.720980,6378.659750
7,1,2,8,6194.995200,6966.427420
7,1,3,5,6183.136840,5453.784020
7,1,3,6,6212.225610,6068.469700
7,1,3,7,6197.708230,6712.891060
7,1,3,8,6198.299470,7358.660500
7,1,4,5,6180.405390,5823.990240
7,1,4,6,6219.002310,6437.039330
7,1,4,7,6235.421090,7022.155160
7,1,4,8,6189.976660,7647.335830
7,2,1,5,6176.770560,4973.414500
7,2,1,6,6160.112590,5586.256800
7,2,1,7,6193.160390,6248.862610
7,2,1,8,6198.954260,6829.491490
7,2,2,5,6221.411040,5294.650170
7,2,2,6,6173.805700,5929.388870
7,2,2,7,6199.636660,6559.873930
7,2,2,8,6205.170690,7205.004180
7,2,3,5,6200.800120,5644.240280
7,2,3,6,6220.799430,6261.101760
7,2,3,7,6218.289040,6874.803970
7,2,3,8,6214.543560,7496.266070
7,2,4,5,6197.248160,5991.215310
7,2,4,6,6183.967720,6613.662000
7,2,4,7,6203.478620,7235.118770
7,2,4,8,6195.885680,7847.270670
7,3,1,5,6202.091130,5133.945760
7,3,1,6,6178.571250,5789.183130
7,3,1,7,6207.451390,6431.544640
7,3,1,8,6200.236370,7043.612140
7,3,2,5,6185.172660,5517.374710
7,3,2,6,6201.812260,6144.110770
7,3,2,7,6149.468600,6752.728720
7,3,2,8,6191.580150,7340.477350
7,3,3,5,6204.440830,5821.248940
7,3,3,6,6219.046340,6483.951500
7,3,3,7,6230.442660,7091.010600
7,3,3,8,6189.689620,7703.774180
7,3,4,5,6192.412620,6201.166160
7,3,4,6,6210.673510,6809.000390
7,3,4,7,6187.728950,7429.513160
7,3,4,8,6213.862130,8011.830640
7,4,1,5,6220.347110,5393.830900
7,4,1,6,6171.366390,5983.374450
7,4,1,7,6187.331080,6638.336120
7,4,1,8,6200.451100,7216.670480
7,4,2,5,6178.141070,5705.370030
7,4,2,6,6184.584630,6322.578060
7,4,2,7,6205.434240,6954.134520
7,4,2,8,6208.645730,7563.225120
7,4,3,5,6195.465530,6009.531320
7,4,3,6,6199.468350,6658.390810
7,4,3,7,6171.732330,7285.129480
7,4,3,8,6208.253480,7905.941970
7,4,4,5,6206.479470,6406.892880
7,4,4,6,6194.034400,7004.302930
7,4,4,7,6197.211110,7614.919410
7,4,4,8,6187.895780,8288.379310
